,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
295,4.1,4.1,145.7,175.1,169.4,176.8
296,4.1,4.1,146.0,175.1,169.4,176.8
297,4.1,4.1,146.0,175.1,169.4,176.8
298,4.1,4.1,145.8,175.1,169.4,176.8
299,4.1,4.1,146.6,175.0,167.6,176.8
300,4.1,4.1,146.4,175.0,167.5,176.8
301,4.1,4.1,146.0,175.0,167.6,176.6
302,4.1,4.1,145.7,175.0,168.5,176.5
303,4.1,4.1,146.0,175.0,168.5,176.5
304,4.1,4.1,146.1,175.0,167.7,176.5
305,4.1,4.1,146.5,175.0,167.6,176.7
306,4.1,4.1,145.9,175.1,169.4,176.6
307,4.1,4.1,145.9,175.0,169.4,176.6
308,4.1,4.1,147.4,175.0,171.0,177.3
309,4.1,4.1,147.6,175.0,187.9,177.3
310,4.0,4.2,147.7,175.0,184.9,177.3
311,4.1,4.1,146.8,175.0,166.8,177.0
312,4.0,4.2,147.7,175.0,186.6,177.3
313,4.0,4.1,149.4,175.1,171.9,176.8
314,4.0,4.1,148.8,175.1,172.8,176.9
315,4.1,4.1,146.6,175.0,166.8,176.9
316,4.1,4.1,147.0,175.0,166.8,177.1
317,4.0,4.1,149.9,175.1,170.2,176.4
318,4.0,4.1,149.8,175.1,170.3,176.5
319,4.0,4.1,150.0,175.1,170.2,176.5
320,4.0,4.1,149.7,175.1,170.6,176.5
321,4.0,4.1,150.0,175.1,170.2,176.5
322,4.0,4.1,149.3,175.1,171.1,176.7
323,4.0,4.1,149.4,175.1,171.9,176.7
324,4.0,4.1,150.0,175.1,170.2,176.5
325,4.0,4.1,149.6,175.1,171.1,176.6
326,4.1,4.1,151.2,175.1,169.4,176.1
327,4.1,4.1,151.5,175.1,169.4,176.2
328,4.1,4.1,151.3,175.1,169.4,176.2
329,4.0,4.1,150.5,175.1,169.4,176.2
330,4.1,4.1,151.3,175.1,169.4,176.2
